YEAR,MO,DD,HH,MM,SS,LAT,LON,ERR,DEPTH,MAG,C_MAG,T_MAG,CAT,INTENSITY,AREA,UF,LOCALITY_COMMENTS,,
1947,,,,,,-21.79,-46.58,0,0,3,4,mI,C,4,,MG,P. DE CALDAS PROV. 19.02.1946,,
1947,11,18,,,,-5.11,-38.37,0,0,0,-1,,C,,,CE,MORADA NOVA,,
1947,12,15,19,5,,-21.7,-57.9,0,0,3.5,4,mI,C,5,,MS,"PT. MURTINHO SENT. P.QUEBRACHO, JARDIM",,
1948,5,,,,,-15.07,-49.97,0,0,3,4,mI,C,4,,GO,EMBIARA (UnB),,
1948,10,4,15,55,,-19.95,-43.25,0,0,0,-1,,C,,,MG,PANTAME (CEMIG),,
1949,9,17,,,,3.83,-51.84,100,0,5,3,mA,C,4,450,AP,OIAPOQUE,,
1949,12,31,,,,-5.69,-36.24,0,0,3.9,4,mI,C,6,,RN,LAJES,,
1950,2,27,11,58,,-21.82,-46.71,20,0,3.9,3,mA,C,5,6,MG,P. DE CALDAS,,
1950,4,7,15,,,-5.9,-35.61,0,0,3,4,mI,C,4,,RN,JOAO CAMARA,,
1951,4,24,,,,3.83,-51.84,0,0,4.7,3,mA,C,4,150,AP,OIAPOQUE,,
1951,12,28,,,,-10,-71.5,0,0,0,-1,,C,,,AC,AC (STERNBERG 1953),,
1952,8,16,,,,-3.2,-59.77,0,0,0,-1,,C,,,AM,CAREIRO,,
1953,3,19,,,,2.82,-60.68,0,0,0,-1,,C,,,RR,BOA VISTA,,
1954,,,,,,-9.93,-36.49,0,0,3,4,mI,C,4,,AL,JUNQUEIRO,,
1955,1,31,5,3,6,-12.52,-57.35,30,0,6.2,0,mb,I,,,MT,SA. TOMBADOR M(PAS)6.8;M(BCI)6.6; relocal.Engdahl(GS),,
1955,3,1,1,46,18,-19.84,-36.75,30,0,6.1,0,mb,A,,,ES,"FTE.VITORIA (ISS) VITORIA V MM, M(ROTHE)=6; MB(PAS)=6.5",,
1957,,,,,,0,0,0,0,0,-1,,C,,,SP,ICEM (UnB/FURNAS),,
1957,1,18,20,25,,-15.6,-56.1,0,0,0,-1,,C,,,MT,"CUIABA' (OBS.D.BOSCO, CUIABA')",,
1957,4,16,18,17,12,-9.5,-67,100,0,4.9,5,mEst,I,,,AM,SUL AMAZONAS (GS),,
1959,2,5,13,50,,-11.54,-57.41,0,0,3.5,4,mI,C,5,,MT,"Porto dos Gauchos, sentido 2 vezes (UnB)",,
1959,5,25,23,8,,-21.26,-48.69,0,0,3.2,4,mI,C,4.5,,SP,FERN.PRESTES INDUZIDO (ANEXO 4),,
1959,5,27,17,5,,-21.26,-48.69,0,0,3.2,4,mI,C,4.5,,SP,FERN.PRESTES INDUZIDO POCO ARTESIANO?,,
1959,5,29,6,55,,-21.26,-48.69,0,0,3.2,4,mI,C,4.5,,SP,FERN.PRESTES INDUZIDO POCO ARTESIANO?,,
1960,2,27,,,,-21.26,-48.69,0,0,0,-1,,C,,,SP,FERN.PRESTES VARIOS-INDUZIDOS P.ART.?,,
1960,5,12,12,9,24,-9,-72.5,50,60,4.9,5,mEst,I,,,AC,W ACRE (GS) CERRO DE PASCO,,
1960,10,21,4,18,44,-7.2,-73.8,50,100,4.9,5,mEst,I,,,AC,NW DO ACRE (GS),,
1960,11,15,,,,-15.6,-56.1,0,0,0,-1,,C,,,MT,"CUIABA' ? (OBS.B.BOSCO, CUIABA')",,
1961,5,,,,,-8.28,-35.96,0,0,0,-1,,C,,,PE,CARUARU VARIOS EVENTOS,,
1961,6,11,,,,-22.05,-44.97,0,0,0,-1,,C,,,MG,CAXAMBU,,
1961,10,3,20,35,54,0.4,-63,100,0,4,0,mb,I,,,AM,"N AMAZONAS (CARACAS, TRINID.-TOBAGO)",,
1962,1,17,2,27,44,-22.93,-43.23,3,0,3.2,3,mA,B,5,0.3,RJ,R.DE JANEIRO,,
1963,,,,,,-8.28,-35.96,0,0,0,-1,,C,,,PE,CARUARU,,
1963,3,30,,,,-5.69,-36.24,0,0,0,-1,,C,,,RN,LAJES VARIOS EVENTOS ATE AGOSTO,,
1963,8,27,,,,-5.69,-36.24,0,0,3.7,4,mI,C,5.5,,RN,LAJES,,
1963,9,3,,,,-5.69,-36.24,0,0,3.7,3,mA,C,,3,RN,LAJES SENT.J.CAMARA;AREA APROX.,,
1963,10,2,,,,-5.69,-36.24,0,0,3.9,4,mI,C,6,,RN,LAJES,,
1963,12,14,21,5,42,-2.3,-61.01,30,45,5.1,0,mb,C,,,AM,MANAUS (ISS) RELOCAL.,,
1964,,,,,,-4.14,-38.85,0,0,0,-1,,C,,,CE,PALMACIA,,
1964,1,19,,,,-8.28,-35.96,0,0,3.5,4,mI,C,5,,PE,CARUARU TRES EVENTOS;10-12 HORAS?,,
1964,1,20,,,,-8.28,-35.96,0,0,0,-1,,C,,,PE,CARUARU,,
1964,2,13,11,21,46,-18.06,-56.69,30,5,5.4,0,mb,I,,,MS,"NW DE MS RELOCAL., CAMPO GRANDE = V MM",,
1964,3,21,,,,-20.51,-45.59,0,0,3,4,mI,C,4,,MG,PONTEVILA DOIS EVENTOS,,
1964,6,16,,,,-8.28,-35.96,0,0,3.5,4,mI,C,5,,PE,CARUARU VARIOS EVENTOS,,
1964,6,19,3,56,20,2.64,-59.62,50,0,4.5,0,mb,I,,,RR,RR/GUIANA (ISC) RELOCAL.,,
1964,9,2,7,49,0,6,-67,200,0,3.5,5,mEst,I,,,EX,VENEZUELA (ISC),,
1965,,,,,,-8.28,-35.96,0,0,0,-1,,C,,,PE,CARUARU,,
1965,,,20,,,-10.8,-47.5,0,0,0,-1,,C,,,GO,"P.ALTA DO N. ANO 1966?(JEF.MELO,IBGE)",,
1965,6,26,5,55,13,-9.14,-73.07,50,52,4.5,0,mb,I,,,AC,W ACRE (ISC),,
1965,8,12,,,,-19.94,-44.72,20,0,3.3,3,mA,C,,0.5,MG,IGARATINGA DIA INCERTO,,
1965,8,15,19,36,56,2.68,-60.12,30,0,4.9,0,mb,I,,,RR,"SE DE RR (ISC), RELOCAL., SEM PP",,
1966,,,,,,-20.6,-45.44,0,0,0,-1,,C,,,MG,TIMBORE' VARIOS; ANO DUVIDOSO,,
1966,8,4,5,45,,-19,-57.8,0,0,0,-1,,C,,,MS,"CORUMBA' (UnB) O.LEONARDOS, ISC NR",,
1966,11,15,8,,,-20.8,-46,0,0,3.2,4,mI,C,4.5,,MG,REG. FURNAS VARIOS;INDUZ.P.RESERVAT.?,,
1967,,,,,,-21.47,-46.4,0,0,0,-1,,C,,,MG,CABO VERDE,,
1967,1,21,18,59,48,-8.2,-35.98,10,0,3.8,1,mR,B,5,7,PE,CARUARU (UFRN),,
1967,1,24,,,,-8.28,-35.96,0,0,0,-1,,C,,,PE,CARUARU VARIOS ENTRE 24 E 25/01,,
1967,1,25,,,,-8.28,-35.96,0,0,0,-1,,C,,,PE,CARUARU VARIOS EVENTOS,,
1967,1,26,,,,-8.28,-35.96,0,0,0,-1,,C,,,PE,CARUARU,,
1967,3,23,21,12,15,-23.3,-45,20,0,4.1,0,mb,A,6.5,30,SP,CUNHA REGISTR. POR AREQUIPA,,
1967,5,12,2,21,43,-7.17,-73.3,50,73,4.4,0,mb,I,,,AC,ACRE (ISC),,
1967,8,,,,,-22.03,-45.84,0,0,0,-1,,C,,,MG,SILVIANOPOLI,,
1967,8,5,9,56,10,-22.85,-43.12,10,0,3.6,1,mR,B,5.5,2.7,RJ,SAO GONCALO,,
1967,8,9,7,14,8,-8.45,-73.83,30,42,5.1,0,mb,I,,,AC,PERU-BRASIL,,
1967,8,18,21,24,24,-21.3,-60.6,100,0,4.7,0,mb,I,,,EX,PARAGUAI (ISC),,
1968,,,,,,-9.93,-36.49,0,0,0,-1,,C,,,AL,JUNQUEIRO,,
1968,,,,,,-18.44,-42.59,0,0,0,-1,,C,,,MG,S.P. SUACUI',,
1968,1,13,1,55,51,-6.09,-38.44,10,0,3.9,2,mbR,C,6,25,CE,PEREIRO (UFRN),,
1968,1,13,1,58,,-6.04,-38.46,0,0,2.8,4,mI,C,3.5,,CE,PEREIRO,,
1968,1,18,10,40,,-6.09,-38.44,0,0,3.5,4,mI,C,5,,RN,SALAO DIA INCERTO,,
1968,1,18,11,,,-6.09,-38.44,0,0,0,-1,,C,,,RN,SALAO DIA INCERTO,,
1968,1,18,11,55,,-6.09,-38.44,0,0,0,-1,,C,,,RN,SALAO DIA INCERTO,,
1968,1,19,,,,-6.04,-38.46,0,0,0,-1,,C,,,CE,PEREIRO,,
1968,2,4,,,,-6.11,-38.44,0,0,3.2,4,mI,C,4.5,,RN,JUNCO,,
1968,2,15,13,20,48,-6.09,-38.44,10,0,4.1,2,mbR,B,6,11,CE,PEREIRO (UFRN),,
1968,2,23,14,23,2,-6.09,-38.44,5,0,4.6,2,mbR,A,7,84,CE,"PEREIRO (UFRN,IAG,ISC)",,
1968,2,23,14,37,1,-6.09,-38.44,10,0,3,1,mR,C,,,CE,PEREIRO (UFRN) EPICENTRO INFERIDO,,
1968,2,23,15,21,16,-6.09,-38.44,10,0,3,1,mR,C,,,CE,PEREIRO (UFRN) EPICENTRO INFERIDO,,
1968,2,23,15,33,3,-6.09,-38.44,10,0,3.8,2,mbR,C,,,CE,PEREIRO (UFRN) EPICENTRO INFERIDO,,
