YEAR,MO,DD,HH,MM,SS,LAT,LON,ERR,DEPTH,MAG,C_MAG,T_MAG,CAT,INTENSITY,AREA,UF,LOCALITY_COMMENTS,,
1986,12,7,20,18,9,-5.53,-35.75,10,0,3.3,1,mR,I,,,RN,Joao Camara (IAG),,
1986,12,8,21,23,42,-5.49,-35.72,2,6,3.6,1,mR,I,,,RN,"Joao Camara (IAG,UnB,UFRN)",,
1986,12,8,21,49,3,-5.48,-35.7,3,6,3.5,1,mR,I,,,RN,"Joao Camara (IAG,UnB,UFRN)",,
1986,12,9,6,48,44,-5.53,-35.74,3,5,4.4,1,mR,I,6,,RN,"Joao Camara (IAG,UnB,UFRN)",,
1986,12,11,14,23,1,-5.53,-35.75,10,0,3.2,1,mR,I,,,RN,Joao Camara (IAG),,
1986,12,13,4,32,17,-5.53,-35.75,10,0,3,1,mR,I,,,RN,Joao Camara (IAG),,
1986,12,16,8,20,16,-5.53,-35.75,10,0,3,1,mR,I,,,RN,Joao Camara (IAG),,
1986,12,16,21,52,18,-5.53,-35.75,10,0,3.1,1,mR,I,,,RN,Joao Camara (IAG),,
1986,12,20,2,5,43,-5.53,-35.75,10,0,3,1,mR,I,,,RN,Joao Camara (IAG),,
1986,12,24,7,5,25,-5.53,-35.75,10,0,3.8,1,mR,I,,,RN,"Joao Camara (UnB,IAG,UFRN)",,
1986,12,24,23,18,50,-5.53,-35.75,10,0,3.4,1,mR,I,,,RN,Joao Camara (IAG),,
1986,12,28,16,9,15,-3.6,-54.6,200,0,3.1,1,mR,I,,,PA,PACOVAL ? (UnB) ou: 2.5 N 54.3 W,,
1987,1,3,13,31,4,-5.53,-35.75,10,0,3.7,1,mR,I,,,RN,"Joao Camara (UnB,UFRN,IAG)",,
1987,1,4,2,24,48,-5.53,-35.75,10,0,3.5,1,mR,I,,,RN,"Joao Camara (UnB,UFRN,IAG)",,
1987,1,7,11,8,27,-5.6,-35.79,2,0,3.7,1,mR,I,,,RN,"Joao Camara (UnB,UFRN,IAG)",,
1987,1,7,12,14,16,-5.6,-35.79,2,0,3.8,1,mR,I,,,RN,"Joao Camara (UnB,UFRN,IAG)",,
1987,1,7,15,6,45,-5.53,-35.75,10,0,3.3,1,mR,I,,,RN,"Joao Camara (UnB,UFRN,IAG)",,
1987,1,13,6,38,59,-5.53,-35.75,10,0,3.3,1,mR,I,,,RN,"Joao Camara (UnB,UFRN,IAG)",,
1987,1,28,6,59,56,-0.04,-63.22,300,0,3.9,1,mR,I,,,AM,BARCELOS ? BAL3+ATM1,,
1987,1,28,16,16,12,-5.52,-35.76,2,0,3.7,1,mR,I,,,RN,"Joao Camara (UnB,UFRN,IAG)",,
1987,1,30,2,3,,-5.53,-35.75,10,0,3,1,mR,I,,,RN,"Joao Camara (UnB,UFRN,IAG)",,
1987,2,,17,,,-21.03,-44.75,0,0,,-1,,C,,,MG,"Bom Sucesso (IAG 2002) fev. ou março, 15 a 17h",,
1987,2,3,23,51,56,-5.5,-35.73,2,0,3.8,1,mR,I,,,RN,"Joao Camara (UnB,UFRN,IAG)",,
1987,2,7,7,48,14,-5.53,-35.75,10,0,3.4,1,mR,I,,,RN,"Joao Camara (UnB,UFRN,IAG)",,
1987,2,7,22,12,38,-5.49,-35.71,2,0,3.7,1,mR,I,,,RN,"Joao Camara (UnB,UFRN,IAG)",,
1987,2,23,20,1,37,-5.53,-35.75,10,0,3.1,1,mR,I,,,RN,"Joao Camara (IAG,UnB,UFRN)",,
1987,2,24,20,15,6,-5.53,-35.75,10,0,3.1,1,mR,I,,,RN,"Joao Camara (UnB,UFRN,IAG)",,
1987,2,25,21,37,4,-3.72,-39.81,50,0,3,1,mR,C,4,0.8,CE,"ITAPAJE' (UnB,IAG) Uruburetama",,
1987,3,10,23,42,3,-5,-35,100,0,2.8,1,mR,I,,,RN,"Touros (UFRN, IAG)",,
1987,3,20,3,,,-21.8,-43.3,5,0,0,-1,,C,,,MG,Juiz de Fora (IAG),,
1987,3,20,14,46,59,-24.7,-43.6,100,0,3,1,mR,I,,,SP,"Plat.Contin. (IAG, IPT, ON)",,
1987,3,21,20,39,14,-21.9,-45.6,5,0,2.5,1,mR,I,,,MG,"S.Gonc.Sapuc (IAG, IPT, ON)",,
1987,3,22,3,15,9,-26.7,-44.2,100,0,3.2,1,mR,I,,,PR,"Plat.Contin. (IAG, IPT, ON)",,
1987,4,10,15,29,34,-20.01,-43.78,60,0,2.5,1,mR,I,,,MG,Nova Lima (UnB),,
1987,4,24,5,58,,0,0,0,0,0,-1,,C,,,AL,MACEIO' (TV. Manchete),,
1987,4,26,,,,-13.85,-39.88,20,0,0,-1,,C,,,BA,APUAREMA SERIE DE EVENTOS,,
1987,4,28,4,59,17,-5.53,-35.75,10,0,3.6,1,mR,I,,,RN,JOAO CAMARA (IAG),,
1987,5,1,5,25,44,-20.8,-44.4,20,0,2.5,1,mR,I,,,MG,"S.J. del REI (IAG, IPT)",,
1987,5,17,5,32,15,-5.7,-36.05,50,0,2,1,mR,B,,0.7,RN,"CAICARA R.V. (UFRN, IAG)",,
1987,6,2,6,8,8,-8.38,-36.15,6,0,2,1,mR,I,,,PE,TACAIMBO' (IAG),,
1987,6,2,6,29,36,-8.38,-36.15,6,0,2.3,1,mR,C,,,PE,"TACAIMBO' (UFRN, IAG) varios",,
1987,6,2,19,16,,-20.5,-44.5,50,0,2.8,1,mR,I,,,MG,S. ITAGUARA (IAG),,
1987,6,18,16,21,2,-5.53,-35.75,10,0,3,1,mR,I,,,RN,"JOAO CAMARA (IAG, UFRN)",,
1987,6,27,5,9,2,-5.53,-35.75,10,0,3,1,mR,I,,,RN,"JOAO CAMARA (IAG, UFRN)",,
1987,7,29,7,18,28,-27.6,-43.5,100,0,3.7,1,mR,I,,,EX,"ATLANTICO (IAG, IPT)",,
1987,8,3,11,34,47,-13.23,-39.68,5,0,2.3,1,mR,C,,0.113,BA,V.JEQUIRICA' (IAG) VARIOS,,
1987,8,4,13,25,41,-21.4,-46.2,20,0,2.5,1,mR,I,,,MG,"ALFENAS (IAG, ON)",,
1987,8,27,13,1,22,-25,-44.1,50,0,3.6,1,mR,I,,,SP,"Plat. Contin (IAG, ON, IPT)",,
1987,9,5,10,10,22,-21.3,-46.2,10,0,2.9,1,mR,I,,,MG,"NW Alfenas (IAG, ON, IPT)",,
1987,9,23,1,35,21,-19.55,-43.99,20,0,3.2,1,mR,I,,,MG,"LAGOA SANTA (UnB, IAG)",,
1987,9,28,20,18,49,-18.9,-44,80,0,3.1,1,mR,I,,,MG,CORDISBURGO (UnB),,
1987,10,14,1,8,19,-2.43,-55.15,50,0,3.5,1,mR,I,,,PA,TUMUCUMAQUE? (UnB) ou: 2.2 N 55.0 W,,
1987,10,15,9,1,41,-11.6,-56.9,50,0,3.9,1,mR,I,,,MT,P. GAUCHOS (UnB),,
1987,10,24,,,,0,0,0,0,2.5,1,mR,C,4,,SP,PARAIBUNA (IAG) BOLETIM???,,
1987,10,24,21,23,40,-7.01,-73.94,30,0,5.2,0,mb,I,,,EX,Peru-Brasil (NEIS),,
1987,11,30,1,23,56,-5.53,-35.75,10,0,3,1,mR,I,,,RN,JOAO CAMARA (IAG),,
1987,12,10,21,36,24,-11.5,-56.9,50,0,3.5,1,mR,I,,,MT,P. GAUCHOS (UnB) 57.9W ??,,
1987,12,11,9,17,40,-6.8,-51.2,50,0,3,1,mR,I,,,PA,S.FELIX XIN. (UnB),,
1987,12,15,11,22,41,-4.8,-50.45,50,0,2.5,1,mR,I,,,PA,SA. CARAJAS (UnB),,
1987,12,17,4,32,0,-20.1,-44.5,25,0,2.3,1,mR,I,,,MG,"C. CAJURU (IAG, UnB, IPT)",,
1987,12,17,5,13,40,-20.2,-44.8,25,0,2.4,1,mR,I,,,MG,"C. CAJURU (IAG, UnB, IPT)",,
1988,1,19,23,41,36,-0.4,-49.9,100,0,3.8,1,mR,I,,,PA,CHAVES ? (UnB),,
1988,2,16,15,3,0,5.02,-51.25,100,0,3.7,1,mR,I,,,AP,Plataforma (UnB),,
1988,2,22,22,27,18,-5,-38.2,30,0,2,1,mR,I,,,CE,"MORADA NOVA? (UnB, IAG)",,
1988,3,14,6,11,42,-4.7,-38,30,0,2.2,1,mR,I,,,CE,"PALHANO (UnB, IAG)",,
1988,3,14,10,31,51,-4.6,-37.9,30,0,2.1,1,mR,I,,,CE,"PALHANO ? (UnB, IAG)",,
1988,3,14,23,43,33,-4.6,-38,30,0,2.1,1,mR,I,,,CE,"PALHANO ? (IAG, UFRN, UnB)",,
1988,4,1,21,36,29,-3.95,-40.34,2,8,4.1,1,mR,I,5.5,,CE,GROAIRAS (UFRN) Sobral,,
1988,4,1,21,37,46,-3.95,-40.34,2,0,3.9,1,mR,I,,,CE,GROAIRAS (IAG) Sobral,,
1988,4,5,3,0,51,-22.1,-51.34,20,0,3.8,1,mR,A,6,5,SP,"P. PRUDENTE (UnB, IAG)",,
1988,4,14,4,20,11,-4.8,-38.1,30,0,2.1,1,mR,I,,,CE,"PALHANO ? (UnB, IAG)",,
1988,4,30,7,33,16,-4.7,-38.3,30,0,2.5,1,mR,I,,,CE,"PALHANO ? (UnB, IAG)",,
1988,5,1,3,33,21,-4.7,-38.2,30,0,2.6,1,mR,I,,,CE,"PALHANO ? (UnB, IAG)",,
1988,5,9,16,,,-21.2,-47.6,0,0,0,-1,,C,,,SP,"SERRANA (TV Globo, Rib. Preto)",,
1988,5,13,9,0,21,-5.05,-37.63,100,0,2.3,1,mR,I,,,RN,"BARAUNA (UnB, IAG)",,
1988,6,5,16,50,32,0.92,-61.66,50,0,3.8,1,mR,I,,,RR,S.JOSE ANAUA (UnB),,
1988,6,7,6,33,14,-24.32,-58.12,100,0,3,1,mR,I,,,EX,"PARAGUAI (UnB, IAG)",,
1988,6,11,23,59,29,-4.3,-41.48,70,0,3.1,1,mR,I,,,PI,"PEDRO II (UnB, IAG)",,
1988,6,24,10,1,44,-20.66,-57.97,50,0,3.9,1,mR,I,,,MS,"MS (GS, UnB, IAG)",,
1988,6,25,11,56,26,-5.53,-35.75,15,0,3.4,1,mR,I,,,RN,JOAO CAMARA (UnB) SERIE DE EVENTOS,,
1988,6,26,3,24,22,-36.27,-52.73,40,18,4.9,2,mbR,I,,,EX,"URUGUAI (GS, UnB, IAG)",,
1988,6,29,13,14,27,-5.53,-35.75,15,0,3.9,1,mR,C,,,RN,"JOAO CAMARA (UnB, FOLHA S.PAULO)",,
1988,7,5,7,44,45,-29.16,-53.16,300,0,2.6,1,mR,I,,,RS,"CRUZ ALTA ? (UnB, IAG)",,
1988,7,19,10,30,,-20.73,-47.75,0,0,3,4,mI,C,4,,SP,"NUPORANGA (TV Globo,Rib.Preto)",,
1988,7,21,21,13,27,-24.75,-40.42,100,0,2.5,1,mR,I,,,RJ,"PLATAFORMA (IAG, IPT)",,
1988,8,11,7,6,14,-11.62,-56.99,50,0,3.7,1,mR,I,,,MT,"P. GAUCHOS (UnB, IAG)",,
1988,8,11,8,6,17,-11.63,-57.95,50,0,4,1,mR,I,,,MT,"P. GAUCHOS (UnB, IAG)",,
1988,8,30,12,51,24,-23.37,-45.67,10,0,2.7,1,mR,I,,,SP,"PARAIBUNA (IPT, IAG)",,
1988,8,30,15,40,20,-6.09,-47.96,30,0,3.5,1,mR,I,5,,TO,"ARAGUATINS (UnB, IAG)",,
1988,9,1,2,56,53,-18.8,-45.14,20,0,2.6,1,mR,I,,,MG,"TRES MARIAS (UnB, IAG, ON)",,
1988,9,2,17,51,7,-23.37,-45.67,10,0,2.6,1,mR,I,,,SP,"PARAIBUNA (IPT, IAG)",,
1988,9,3,1,46,30,-23.37,-45.67,10,0,2.4,1,mR,I,,,SP,"PARAIBUNA (IPT, IAG)",,
1988,9,3,3,49,19,-23.37,-45.67,10,0,2,1,mR,I,,,SP,"PARAIBUNA (IPT, IAG)",,
1988,9,3,7,29,23,-3.1,-59.76,50,0,3.8,1,mR,I,,,AM,RIO JATAPU (UnB),,
1988,9,6,7,2,54,-23.36,-45.63,6,0,2,1,mR,I,,,SP,"PARAIBUNA (IPT, IAG)",,
1988,9,7,8,35,45,-19.7,-63.9,300,0,3.6,1,mR,I,,,EX,BOLIVIA ? (UnB),,
1988,9,11,3,2,40,-32,-62.7,300,0,3.4,1,mR,I,,,EX,ARGENTINA ? (UnB),,
1988,9,19,3,5,59,-25.29,-45.09,50,0,2.5,1,mR,I,,,SP,"Plataforma (IAG,IPT,ON) corrigido",,
1988,9,28,1,33,51,-23.6,-41.74,200,0,2.2,1,mR,I,,,SP,"PLATAFORMA (IAG, ON)",,
1988,10,1,1,39,40,-5.53,-35.75,15,0,3.3,1,mR,I,,,RN,"JOAO CAMARA (IAG, UFRN)",,
1988,10,1,16,43,38,-5.53,-35.75,15,0,3,1,mR,I,,,RN,"JOAO CAMARA (IAG, UFRN)",,
1988,10,3,1,3,35,-5.53,-35.75,15,0,3,1,mR,I,,,RN,"JOAO CAMARA (IAG, UFRN)",,
1988,10,3,5,2,36,-11.66,-56.91,40,0,3.2,1,mR,I,,,MT,PTO. GAUCHOS (UnB),,
1988,10,3,23,57,56,-5.53,-35.75,15,0,3.1,1,mR,I,,,RN,"JOAO CAMARA (IAG, UFRN)",,
1988,10,4,15,23,33,-5.53,-35.75,15,0,3,1,mR,I,,,RN,"JOAO CAMARA (IAG, UFRN)",,
1988,10,4,22,18,43,-4.82,-37.97,5,0,2.8,1,mR,I,,,CE,PALHANO (IAG),,
1988,10,12,8,16,33,-27.3,-46.97,50,0,2.9,1,mR,I,,,SC,"PLATAFORMA (IAG, IPT, UnB)",,
1988,10,17,6,28,4,-21,-58,300,0,2.5,1,mR,I,,,EX,PARAGUAI (UnB),,
1988,10,17,7,51,44,-21,-58,300,0,3.4,1,mR,I,,,EX,PARAGUAI (UnB),,
1988,10,18,9,44,37,-4.81,-37.98,2,4,3.7,1,mR,I,,,CE,"PALHANO (UFRN, UnB, IAG)",,
1988,10,18,21,3,29,-4.81,-37.98,2,4,3.9,1,mR,I,,,CE,"PALHANO (UFRN, UnB, IAG)",,
1988,10,19,2,15,50,-4.81,-37.98,2,4,4.2,1,mR,I,6,,CE,"PALHANO (UFRN, UnB, IAG)",,
1988,10,19,6,2,35,-24.8,-42,100,0,2.1,1,mR,I,,,SP,"PLATAFORMA (IPT, IAG)",,
1988,10,29,3,24,28,-4.81,-37.97,2,4,4.1,1,mR,I,6,,CE,"PALHANO (UFRN, UnB, IAG)",,
1988,10,29,15,30,7,-4.81,-37.97,4,0,3.3,1,mR,I,,,CE,PALHANO (IAG),,
1988,10,29,16,18,9,-4.81,-37.97,4,0,3,1,mR,I,,,CE,PALHANO (IAG),,
1988,10,30,7,13,4,-4.81,-37.97,2,5,3.2,1,mR,I,,,CE,"PALHANO (UFRN, UnB, IAG)",,
1988,11,1,14,25,29,-5.53,-35.75,15,0,3.3,1,mR,I,,,RN,"JOAO CAMARA (IAG, UFRN)",,
1988,11,9,20,38,9,-26.1,-52.1,100,0,2.1,1,mR,I,,,PR,MANGUEIRINHA (UnB) explosao ?,,
1988,11,10,20,15,3,-4.81,-37.98,5,0,3.3,1,mR,I,,,CE,"PALHANO (IAG, UFRN)",,
1988,11,10,22,36,25,-20.31,-47.35,30,0,2.3,1,mR,I,,,SP,"FRANCA (UnB, IPT, IAG) expl.?",,
1988,11,28,19,32,39,-5.53,-35.75,15,0,3,1,mR,I,,,RN,"JOAO CAMARA (IAG, UFRN)",,
1988,12,10,9,52,19,-0.73,-59.38,50,0,3.8,1,mR,I,,,RR,JUNDIA' (UnB),,
1988,12,10,10,28,48,-4.81,-37.98,5,0,3.4,1,mR,I,,,CE,"PALHANO (IAG, UFRN)",,
1988,12,23,15,34,54,-23,-44.21,1,0,2.8,1,mR,I,5,0.6,RJ,"Monsuaba (IAG,ON,IPT) Angra II MM",,
1988,12,25,17,3,16,-23,-44.21,1,0,2.6,1,mR,I,4.5,,RJ,"Monsuaba (IAG,ON,IPT)",,
1988,12,25,17,35,,-23,-44.22,3,0,2.1,5,mEst,I,4,,RJ,"Monsuaba (IAG,ON,IPT)",,
1988,12,27,1,53,42,-22.99,-44.21,1,0,2.2,5,mEst,I,4,,RJ,"Monsuaba (IAG,ON,IPT)",,
1988,12,28,2,29,46,-23,-44.22,1,0,2,5,mEst,I,4,,RJ,"Monsuaba (IAG,ON,IPT)",,
1988,12,29,21,48,37,-14.08,-48.16,50,0,2.4,1,mR,I,,,GO,NIQUELANDIA (SAAS-UnB),,
1989,1,6,19,2,24,-23.37,-45.67,10,0,2.3,1,mR,I,,,SP,"Paraibuna (IPT,IAG)",,
1989,1,7,3,1,13,-11.62,-48.11,40,0,3.8,1,mR,I,,,TO,"Natividade (UnB,IAG)",,
1989,1,7,11,36,39,-22.93,-51.01,2,0,3.7,1,mR,A,6,0.8,PR,"Ibiaci (IPT,IAG,UnB,ON) Provavel induzido.",,
1989,1,15,12,45,18,-4.81,-37.97,5,0,3.6,1,mR,I,,,CE,"Palhano (IAG,UnB)",,
1989,1,18,23,38,10,-23.37,-45.67,10,0,2.5,1,mR,I,,,SP,"Paraibuna (IPT,IAG,ON)",,
1989,2,3,19,32,9,-23.28,-45.47,10,0,2.8,1,mR,I,,,SP,"Paraibuna (IPT,IAG,ON)",,
1989,2,7,19,12,45,-4.81,-37.97,5,0,3.1,1,mR,I,,,CE,Palhano (IAG),,
1989,2,28,13,1,58,-23.11,-61.47,30,569,5.6,0,mb,I,,,EX,"Paraguai (GS,IAG,UnB)",,
1989,3,9,1,44,5,-24.51,-40.69,70,0,3.4,1,mR,I,,,RJ,"Plataforma (IPT,IAG)",,
1989,3,9,19,20,17,-19.4,-45.7,20,0,3.4,1,mR,I,4,,MG,"D. Indaia' (IAG,UnB,IPT,ON)",,
1989,3,10,4,11,22,-5.46,-35.69,5,8,5,2,mbR,I,7,,RN,"J.Camara (UFRN,IAG,UnB)",,
1989,3,10,7,13,27,-5.46,-35.69,10,0,3.2,1,mR,I,,,RN,J.Camara (IAG),,
1989,3,10,10,7,13,-5.46,-35.69,10,0,3.9,1,mR,I,,,RN,"J.Camara (IAG,UnB)",,
1989,3,10,18,54,52,-5.46,-35.69,10,0,3.3,1,mR,I,,,RN,J.Camara (IAG),,
1989,3,10,21,26,39,-5.46,-35.69,10,0,3.5,1,mR,I,,,RN,J.Camara (IAG),,
1989,3,14,22,56,35,-5.46,-35.69,10,0,3,1,mR,I,,,RN,J.Camara (IAG),,
1989,3,25,14,33,48,-4.81,-37.97,5,0,3.5,1,mR,I,,,CE,Palhano (IAG),,
1989,3,25,15,29,24,-4.81,-37.97,5,0,4.1,1,mR,I,,,CE,"Palhano (UFRN,UnB,IAG)",,
1989,3,26,13,25,34,-4.81,-37.97,5,0,4.5,2,mbR,I,6,,CE,"Palhano (UFRN,UnB,IAG)",,
1989,3,26,16,30,16,-4.81,-37.97,5,0,3.7,1,mR,I,,,CE,"Palhano (UFRN,IAG,UnB)",,
1989,3,26,18,17,48,-4.81,-37.97,5,0,3.9,1,mR,I,,,CE,"Palhano (UFRN,UnB,IAG)",,
1989,3,29,19,1,4,-13.61,-49.6,20,0,3.6,1,mR,I,,,GO,"Porangatu (UnB,IAG,IPT)",,
1989,4,1,23,40,56,-19.4,-45.7,30,0,2.4,1,mR,I,,,MG,D. Indaia' (UnB),,
1989,4,2,1,17,23,-19.4,-45.7,30,0,2.3,1,mR,I,,,MG,D. Indaia' (UnB),,
1989,5,5,18,28,39,-8.28,-71.38,30,593,6.4,0,mb,I,2,,AC,"Feijo' (GS,IAG,UnB,Pr. Municipal)",,
1989,5,5,19,10,45,-7.25,-71.08,30,600,4.9,0,mb,I,,,AC,Acre (GS),,
1989,5,6,19,55,46,-5.46,-35.69,20,0,3.6,1,mR,I,,,RN,"J. Camara (IAG,UnB)",,
1989,5,7,6,38,0,-24.77,-46.47,50,0,2,1,mR,I,,,SP,Plataforma (IPT),,
1989,5,9,1,46,8,-20.3,-43.44,15,0,3.4,1,mR,I,,,MG,"Mariana (UnB,IAG,IPT,ON)",,
1989,5,9,6,38,36,-12.3,-38.59,20,0,2.2,1,mR,I,,,BA,T. Sampaio (IAG),,
1989,5,13,7,20,46,-4.81,-37.97,10,0,3,1,mR,I,,,CE,Palhano (IAG),,
1989,5,13,7,27,32,-4.81,-37.97,10,0,3.2,1,mR,I,,,CE,Palhano (IAG),,
1989,5,22,21,9,46,-5.46,-35.69,20,0,3,1,mR,I,,,RN,J. Camara (IAG),,
1989,5,23,22,57,58,-20.73,-47.75,5,0,3.2,1,mR,I,4.5,0.3,SP,"Nuporanga (IAG,UnB,IPT)",,
1989,5,26,22,55,28,-4.81,-37.97,5,0,4.1,1,mR,I,5.5,,CE,"Palhano (IAG,UnB,UFRN)",,
1989,6,1,21,40,,-20.73,-48.07,0,0,3,4,mI,C,4,,SP,Morro Agudo (IAG),,
1989,6,6,12,25,31,-1.55,-64.75,100,0,3.8,1,mR,I,,,AM,Rio Cuiuni (UnB),,
1989,7,4,6,23,40,-24.87,-46.81,50,0,2,1,mR,I,,,SP,Plataforma (IPT),,
1989,7,5,3,29,14,-23.37,-45.67,10,0,2.8,1,mR,I,,,SP,"Paraibuna (IPT,IAG)",,
1989,7,9,22,26,52,-24.3,-43.03,20,0,2.3,1,mR,I,,,SP,"Plataforma (IPT,ON,IAG)",,
1989,7,10,6,28,35,-22.45,-43.95,20,0,2,1,mR,I,,,RJ,"V. Redonda (IPT,ON,IAG)",,
1989,7,13,11,16,59,-15.54,-51.07,100,0,3,1,mR,I,5,,MT,Cocalinho (UnB),,
1989,7,19,13,36,37,-23.78,-41.59,30,0,2.4,1,mR,I,,,RJ,"Plataforma (IPT,IAG,ON)",,
1989,7,28,13,0,,-27.94,-50.8,0,0,3.2,4,mI,C,4.5,,SC,Campo B. Sul (Prefeitura Municipal),,
1989,8,1,17,20,19,-10.18,-59.28,50,0,3.6,1,mR,I,,,MT,Rio Aripuana (UnB),,
1989,8,3,2,33,21,-21.83,-45.24,20,0,2.2,1,mR,I,,,MG,"Cambuquira (IPT,IAG)",,
1989,8,3,16,5,13,-4.94,-40.24,70,0,2.8,1,mR,I,,,CE,"M. Tabosa (UFRN,IAG,UnB)",,
1989,8,7,19,42,0,-20.94,-43.54,40,0,2,1,mR,I,,,MG,"Barbacena (IPT,IAG) Explosao ?",,
1989,8,11,15,50,41,-24.19,-43.56,100,0,3.2,1,mR,I,,,RJ,"Plataforma (IPT,ON,IAG)",,
1989,8,26,16,5,47,-4.81,-37.97,5,0,3.8,1,mR,I,,,CE,"Palhano (IAG,UnB)",,
1989,8,28,8,6,26,-4.81,-37.97,5,0,3.9,1,mR,I,,,CE,"Palhano (IAG,UFRN,UnB)",,
1989,9,4,6,17,2,-23.41,-41.56,100,0,3.1,1,mR,I,,,RJ,"Plataforma (IAG,IPT,ON)",,
1989,9,27,3,56,28,-5.81,-36.91,5,0,2,1,mR,I,,,RN,N. S. Rafael (UFRN) Sismo Induzido ?,,
1989,9,27,6,35,14,-5.81,-36.91,5,0,2.3,1,mR,C,3.5,,RN,N. S. Rafael (UFRN) Sismo Induzido ?,,
1989,9,27,6,50,5,-5.81,-36.91,5,0,2,1,mR,C,,,RN,N. S. Rafael (UFRN) Sismo Induzido ?,,
1989,10,17,10,45,59,-4.81,-37.97,5,0,3.6,1,mR,I,,,CE,"Palhano (IAG,UFRN,UnB)",,
1989,10,17,15,2,48,-4.81,-37.97,5,0,4.2,1,mR,I,,,CE,"Palhano (IAG,UFRN)",,
1989,10,17,15,8,26,-4.81,-37.97,5,0,3.5,1,mR,I,,,CE,"Palhano (IAG,UFRN)",,
1989,10,17,15,26,34,-4.81,-37.97,10,0,3.1,1,mR,I,,,CE,Palhano (IAG),,
1989,10,18,15,31,6,-4.81,-37.97,10,0,3,1,mR,I,,,CE,Palhano (IAG),,
1989,10,19,4,17,,-20.73,-47.75,0,0,2.6,4,mI,C,3,,SP,"Nuporanga 3 tremores (Pref.Mun., TVS)",,
1989,10,21,2,58,55,-26.55,-55.7,30,0,2.8,1,mR,I,,,EX,"Paraguai (UnB,IAG)",,
1989,11,6,15,14,,-7.08,-41.44,0,0,2.6,4,mI,C,3,,PI,"Picos (UnB,Pref. Municipal)",,
1989,11,26,11,21,26,-0.24,-49.86,20,0,4,1,mR,I,3.5,,PA,"Chaves (UnB,IAG,J.Est.S.Paulo)",,
1989,11,29,18,14,15,-24.98,-50.59,30,0,2.6,1,mR,I,,,PR,Ponta Grossa (IPT) Explosao ?,,
1989,12,3,14,16,49,-7.62,-72.7,0,153,5.9,0,mb,I,3,,AC,Cruzeiro Sul (Pref. Municipal),,
1989,12,12,14,50,45,-23.37,-45.67,10,0,2,1,mR,I,,,SP,"Paraibuna (IPT,IAG)",,
1989,12,18,11,46,26,-19.95,-47.16,20,0,3.4,1,mR,I,4,,MG,"Sacramento (IPT,UnB,IAG)",,
1989,12,27,19,26,13,-3.76,-40.83,30,0,3.2,1,mR,I,4.5,0.6,CE,"Frecheirinha (UFRN,IAG)",,
1990,1,19,22,5,15,-19.95,-47.16,10,0,4.2,1,mR,B,5.5,5,MG,"Sacramento (IPT,UnB,IAG,ON,UNESP)",,
1990,2,12,23,56,39,-31.19,-48.92,30,13,5.2,2,mbR,I,,,RS,"Margem Cont. (GS mb=5,5,IAG,UnB, IPT,UNESP)P.Alegre(IIMM)",,
1990,3,1,21,59,59,-14.57,-44.12,1,1,3.1,1,mR,I,4,0.5,MG,"Manga (UnB,IAG)",,
1990,3,2,7,10,29,-14.57,-44.12,1,1,2.7,1,mR,I,,,MG,"Manga (UnB,IAG)",,
1990,3,8,21,1,32,-15.5,-40.91,2,1,3.1,1,mR,I,4,0.1,BA,"Encruzilhada (UnB,IAG)",,
1990,3,9,12,53,29,-15.5,-40.91,2,1,2.9,1,mR,I,,,BA,"Encruzilhada (UnB,IAG)",,
1990,3,28,22,29,49,-21.9,-46.84,20,0,2.7,1,mR,I,,,SP,"S.J.B. Vista (IPT,IAG)",,
1990,4,25,4,35,,-24.33,-50.54,50,0,2.1,1,mR,I,,,PR,Telem. Borba (IPT),,
1990,4,30,5,31,4,-12.55,-40.3,10,0,2.9,1,mR,C,4.5,,BA,"Itaberaba (IAG,UnB) dois eventos",,
1990,5,30,8,0,24,-25.73,-44.72,50,0,3.1,1,mR,I,,,PR,"Margem Cont. (IPT,IAG,UNESP)",,
1990,6,1,6,55,57,-19.95,-47.16,20,0,2.6,1,mR,I,2,,MG,"Sacramento (IAG,UnB,IPT)",,
1990,6,5,2,20,34,-21.27,-46.04,20,0,2.5,1,mR,I,,,MG,"Alfenas (IAG,IPT,UnB,UNESP)",,
1990,6,10,3,40,29,-21.23,-46.02,20,0,2.9,1,mR,I,4,,MG,"Alfenas (IAG,IPT,UnB,UNESP)",,
1990,6,13,16,35,3,-5.81,-36.91,5,0,2.6,1,mR,C,,,RN,N. S. Rafael (UFRN) Sismo Induzido,,
1990,6,13,21,57,36,-5.81,-36.91,5,0,2.1,1,mR,C,,,RN,N. S. Rafael (UFRN) Sismo Induzido,,
1990,6,19,17,38,1,-25.49,-44.98,50,0,2,1,mR,I,,,PR,"Margem Cont. (IPT,IAG)",,
1990,6,29,3,36,20,-22.26,-45.92,15,0,2.1,1,mR,I,,,MG,"Pouso Alegre (IPT,IAG)",,
1990,7,11,20,4,12,-20.11,-44.62,40,0,2.8,1,mR,I,,,MG,Divinopolis (UnB),,
1990,7,12,21,1,3,-21.86,-46.92,30,0,2.4,1,mR,I,,,SP,"SJBoa Vista (UnB, IPT, IAG)",,
1990,7,24,11,33,24,-5.82,-36.88,3,2,2.2,1,mR,I,2.5,,RN,N. S. Rafael (UFRN) Sismo Induzido,,
